Cellulose,Hemicellulose,Lignin,Size,Temp,Time,SL_ratio,HBA_HBD_ratio,MW,pKa,HBD_count,HBA_count,viscosity,biomass_enc,hbd_enc,LRY
30.3,16.7,21.5,1.2,150,9.0,0.0526315789473684,0.5,92.09,14.4,3.0,3.0,50.0,54.27090588235294,34.125959425190196,30.5
35.49,18.54,14.84,0.38,110,4.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.502012048192775,30.997465236686388,41.24
35.49,18.54,14.84,0.38,110,6.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.30382954545455,36.005810157790926,32.08
35.49,18.54,14.84,0.38,110,8.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.27090588235294,35.556408706677935,33.29
35.49,18.54,14.84,0.38,130,4.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.502012048192775,30.997465236686388,35.71
35.49,18.54,14.84,0.38,130,6.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.502012048192775,30.997465236686388,43.19
35.49,18.54,14.84,0.38,130,8.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,55.102467391304344,35.32244560764679,44.74
36.9,25.3,25.5,0.38,160,3.0,0.05,1.0,110.11,9.23,2.0,2.0,10.0,31.406666666666666,51.91873394948207,49.0
36.9,25.3,25.5,0.38,160,3.0,0.05,0.5,152.15,7.4,2.0,4.0,10.0,37.879999999999995,14.850000000000001,52.5
36.9,25.3,25.5,0.38,160,3.0,0.05,1.0,164.16,4.4,2.0,3.0,10.0,31.406666666666666,51.91873394948207,60.8
34.5,23.3,20.4,2.0,130,0.5,0.1,0.5,62.07,15.1,2.0,2.0,10.0,45.004999999999995,26.8625,24.0
26.5,11.2,14.8,0.25,80,3.0,0.05,0.5,138.12,4.58,2.0,3.0,10.0,40.223243243243246,32.4,10.4
26.5,11.2,14.8,0.25,80,3.0,0.05,0.5,152.15,7.4,2.0,4.0,10.0,40.223243243243246,38.55,5.1
29.6,13.3,12.7,0.25,80,3.0,0.05,0.5,138.12,4.58,2.0,3.0,10.0,41.25558823529412,10.4,32.4
29.6,13.3,12.7,0.25,80,3.0,0.05,0.5,152.15,7.4,2.0,4.0,10.0,42.20921052631579,28.8,24.6
36.53,21.47,21.5,0.83,80,12.0,0.05,0.5,92.09,14.4,3.0,3.0,50.0,41.25558823529412,34.32525739644971,45.44
